,motorSelectiveStop,stopSignal,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
by_rtdur,,,,,,,"[2.3879827558588897, 0.808255821502743]",
by_rtdur_derivative,,,,,,,"[1.7140197560980157, 0.24792866259537436]",
cosine10,,,,,,,"[1.0453159629479554, 0.0002098667214029959]",
task_switch_900-task_stay_cue_switch_900,,,,,,,,"[1.2572023281039904, 0.13981685033229319]"
task_stay_cue_switch_900-cue_stay_900,,,,,,,,"[1.2181510773546849, 0.0872461660394049]"
task_switch_100-task_stay_cue_switch_100,,,,,,,,"[1.258327512117429, 0.11573860530130513]"
task_stay_cue_switch_100-cue_stay_100,,,,,,,,"[1.2096843917542868, 0.07750332231556722]"
task_switch_900,,,,,,,,"[2.7479547151380865, 0.474984955058308]"
task_switch_900_derivative,,,,,,,,"[5.759060272186285, 1.1204478335071577]"
task_stay_cue_switch_900,,,,,,,,"[2.124401408015554, 0.5180480920176844]"
task_stay_cue_switch_900_derivative,,,,,,,,"[3.7170723624591364, 0.9826004810274754]"
cue_stay_900,,,,,,,,"[2.1743020215616506, 0.38879656910567995]"
cue_stay_900_derivative,,,,,,,,"[3.785567836343328, 0.8587772065195093]"
task_switch_100,,,,,,,,"[2.0587417893427444, 0.2954345320204299]"
task_switch_100_derivative,,,,,,,,"[4.409716865985571, 0.8070157059775458]"
task_stay_cue_switch_100,,,,,,,,"[1.6790045256477157, 0.2788880604343011]"
task_stay_cue_switch_100_derivative,,,,,,,,"[2.94613601078932, 0.6955474540378331]"
cue_stay_100,,,,,,,,"[1.77176772862747, 0.2596232928814046]"
cue_stay_100_derivative,,,,,,,,"[3.052334526744008, 0.7251502750162794]"
