,motorSelectiveStop,stopSignal,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
cue_stay_900_derivative,,,,,,,,3.8619980462632073
task_switch_100,,,,,,,,2.2197521217768106
task_switch_100_derivative,,,,,,,,4.626723883003269
task_stay_cue_switch_100,,,,,,,,1.7356247664912572
task_stay_cue_switch_100_derivative,,,,,,,,3.03544661916301
cue_stay_100,,,,,,,,1.801071571723032
cue_stay_100_derivative,,,,,,,,3.097858362457311
task_switch_900-task_stay_cue_switch_900,,,,,,,,1.2780269595289495
task_stay_cue_switch_900-cue_stay_900,,,,,,,,1.2386549515023357
task_switch_100-task_stay_cue_switch_100,,,,,,,,1.2882766325602595
task_stay_cue_switch_100-cue_stay_100,,,,,,,,1.2354079193078928
